,comment,star,date,,상품 링크
1,163/53 m 사이즈 딱 맞아요! 핏되게 입는 거 좋아하시면 사세요. 라지는 팔 길이가 길어 보이더라구요. 길이감도 적당하구 넣어 입을 수 있습니다~~ 세가지 컬러 다 이뻐요! 배송은 일요일 주문 목요일 도착이었어요~ 나중에 또 주문할게요!,5,22.06.16.,,https://smartstore.naver.com/newyorkwoodbury/products/3005303161?NaPm=ct%3Dl5n6jyso%7Cci%3Df02a3c42bbd41ca458470686ba8272b0fe02bbb5%7Ctr%3Dslsl%7Csn%3D589004%7Chk%3D271efcb5e54e53b91fb66d70877919edefa79eac
2,"흰색말고 원색컬러 티셔츠 구매하고싶어서 샀어요!ㅎㅎ 면은 정말 좋고 배송도 나름 빨랐습니다! 사이즈는 원래 상의 44반-55 착용하고 저는 여성용s, 키즈 m을 구매했는데 작거나 크지는 않았지만 너무 딱 맞는 느낌은 있더라구요 ㅎ 제가 크게 입거나 하진않지만 살짝 여유있게 입으실거면 한사이즈씩 큰거하시면 딱 좋을거같아요 :) 옷은 너무 만족해요^^",5,22.07.14.,,
3,올이 다 풀려버렸습니다. 박음질 자체가 이상해요. 다른데서 구매한 건 이렇지 않았는데 스트레스네요. 그냥 돈 땅바닥에 던져버린 것 같아 기분이 많이 안좋습니다. 정당한 댓가를 구매하고 산건데 왜 이런 일을 당해야 하는지 화가나서 굳이 귀찮아도 시간 할애해서 사진까지 첨부해서 리뷰 씁니다.,1,22.07.06.,,
4,"일요일에 주문했는데 목요일 아침에 도착했어요ㅎ 재질도 좋고 약간 루즈핏 원했는데 ,원하던 핏이 딱 나오네용ㅎㅎ 사이즈 없어서 못 샀던 색들 재입고 되면 또 주문해야겠어용ㅎㅎ",5,22.07.14.,,
5,L가 품절이라 혹시나 해서 m 샀는데 좀 타이트하네여 남자 s 사이즈엔 m은 좀 타이틀하게 맞아요 그래도 검정색은 이쁘네요 뱃살좀 빼서 입어야겠어요,5,22.07.15.,,
6,배송비가 개당붙지안아서 3개삿어요~ 가성비 너무 좋으네요 보이즈가 진짜 저렴해서~ 네이비 화이트 블랙삿는데 셋다 애뻐요 네이비가 좀더 고급지고 다음 블랙이고 화이트는 깔끔해요 마니 비칠줄알앗는데 생각보다 갠찬아서 다행이요~ s는 타잇하게 핏되고 집에잇는 게*여자티s랑 같고 네이비저사진은 m이요 살짝 넉넉해서 훨씬 애뿌데요 블랙은 L인데 지*남자티100이랑 같아욤~ 사이즈고민엄청햇는데 참고하시라고 길게 남겻네요~,4,22.06.18.,,
7,남자 s 입는데 사이즈 좋네요 원단도 좋구요 색깔쨍하니 이쁘네요 고맙습니다,5,22.07.15.,,
8,"55반 사이즈 입는데
보이 L이 편하게 맞네요
M은 피트되나 불편할 정도는 아닙니다
그린색이 참 이쁘네요
쨍한 파랑이라 시원해보여요
그린 L는 제가 입고 파랑m은 11세 아들 입히려구요^^",5,22.06.30.,,
9,남자 95사이즈 입는데 엑라 딱 맞아요. 색도 예쁘고 하나 더 사야겠어요,5,22.07.07.,,
10,형광빛 돌면 어쩌지 걱정했는데 아니어서 다행이에요. 딱 아쿠아그린색 너무 예쁨요. 저렴하게 편히 입는 보이즈 반팔이고 그만큼 바느질이나 디테일 그렇게 좋진 않아요 넘 기대하면 안됨...ㅋ 무튼 가격 생각하면 너무 괜찮은 티! 핑크색도 있으면 좋겠어요...ㅎ,5,22.06.24.,,
11,컬러감 쨍하니 여름에 입기에 너무 좋은거 같아용 이뻐용 진심 보세티셔츠사는가격으로 득템한고 같아요 보이즈 좋네요 ㅋㅋㅋ 이쁘게 잘 입을꺼 같아요,5,22.07.01.,,
