,comment,star,date,,상품 링크
1,"은은한 조명 아래에 오니 로고 주위로 동그란 띠가 보여 티 안쪽을 뒤집어 까보니 로고에 저렇게 덧댐이 있었습니다. 쉽게 떼지는거 같아 떼어보니 로고자체를 박음질을 해놨더라구요. 가품인가 싶기도 하고 덧댐을 제거한 채로 입으니 까끌거려서 못입겠다는 생각이 들어서 판매자분께 문의 드리니 가품아니고 로고 훼손방지? 명목으로 이번년도부터 이렇게 나온다 하더라구요. 더불어 덧댐 제거하면 교환 환불 불가 라고 하셨습니다. 애초에 덧댐 붙여 나간다는 말 자체도 없었고 떼보니 저렇게 로고를 덧대어 대충 박음질한줄 누가 알았겠습니까… 
59000원 커플티로 두장 구매했습니다. 싸다면 싸고 비싸다면 비싼 금액입니다. 환불 받고싶었으나 다른분이 저 같은 상황에 처해지실까봐 그냥 구매확정 눌러버리고 리뷰 씁니다. 버릴려다 가끔 입지 뭐 하고 빨래 돌렸는데 목이 늘어났네요.
악의적인 의도 없습니다. 공익을 위해 제가 느낀 그대로 적었습니다. 거짓 또한 보태지 않았습니다.",1,22.06.02.,,https://smartstore.naver.com/underdogkr/products/5108885577?NaPm=ct%3Dl5mi11aw%7Cci%3D82e1e2f62ae56a5a2d90ec51f4106fbd9140070e%7Ctr%3Dslsl%7Csn%3D1117459%7Chk%3Dd47396c8a19cfd17e62b65c1261ccef2fb3f170a
2,"자주 입어도 안늘어나고 질도 좋아요!
다음에 또 구매할게요~",5,22.07.10.,,
3,생각보다 큼직해서 M 했어도 되었을듯 해요 그래도 낙낙한 핏이 귀여워요ㅎㅎ커플티로 잘 입겠습니다! (위는 보이즈 / 아래는 남성용),5,22.07.02.,,
4,"생각보다 탄탄하고 핏이 이뻐요
남자친구 주려고 XL샀는데 잘 맞았으면 좋겠네용 ㅜ",5,22.06.30.,,
5,그냥 맘에하나도안들어여 상품 로그에 이상한가 붙처있고  목라인에 저렇게 찌져지고 하 우울합니다 ㅠㅠ 엑스라지만 이러네여,1,22.06.28.,,
6,아주 좋아요 배송도 굿입니당,5,22.07.12.,,
7,잘입을게요 배송도 정말 빨랐어요 담에 또 여기서 시켜야겠어용,5,22.07.05.,,
8,"질좋고 배송좋고 폴로라서 더좋고~
정품치고 너무 만족합니다",5,22.07.12.,,
9,배송빨라요 사이즈좋아요,5,22.07.12.,,
10,항상 잘입고 있어요 배송도 빠르고 맘에 듭니다,5,22.07.01.,,
11,"편하게 잘 맞아요
편도 좋고 맘에 들어여",4,22.07.05.,,
