,comment,star,date,,상품링크
1,"겉보기에는 문제없어서 가성비 티셔츠로 사용하는데 좋습니다. 다만 제가 하와이 매장에서 직접 사온 같은 모델 정품티셔츠보다 좀더 바랜색상이며, 또 두제품이같이 물에 젖은상황에서 이제품만 흰 바지에 이염되는 것을 보아하니, 역시나 이가격에 정품을 바란건 무리였던 것 같습니다",2,22.07.16.,,https://smartstore.naver.com/naraoutlet/products/5579543243?NaPm=ct%3Dl5n6xzfc%7Cci%3D0daa3599bab429be9d5d27420c0341d10edc16a4%7Ctr%3Dslsl%7Csn%3D3697188%7Chk%3D30c1098aa1ffb011687cc6ae7a992a46f0208166
2,"브이넥으로 골랐다가 남자친구는 라운드넥 원해서 바꿔달라고 문의 남겼는데
하나만 체크해서 라운드로 바꿔달라했던 거 같은데
두개 다 라운드넥으로 바껴써요,,
제가 정확하게 문의할 걸 ㅜㅜ
옷 자체는 예뻐요!!
커플티로 가성비 최고 ♥️♥️
그레이색 고민 했었는데 교환할까 생각 했지만
이건 그레이 부이넥으로 또 사라는 의미인 거 같아서
하나 더 샀어요 히히 

전 170cm 인데 엉밑부분빼고 다 엉덩이를 덮어주는 길이네욥!
생각보다 커용",5,22.07.11.,,
3,너무 이쁘네용 가격도 좋고 ㅋㅋ 그리고 생각보다 핏도 이뻐서 너무 만족했어요 다음에 흰것도 구매할려고요,5,22.07.09.,,
4,"여자친구랑 커플티로 입으려고 크게나왔다고해서 고민했는데 그냥 원래입던 사이즈대로 구매했더니 딱 너무작지도 크지도않은 오버핏 잘나오는거같아요 면도부드러워서 입었을때 착용감도 좋구
디자인도 무난무난해서 여름에 자주입을거같아요! 배송도 하루만에와서 엄청 놀랬어용 감사합니다~잘입겠습니다! 담에도 재구매의사있어요!",5,22.07.11.,,
5,생각보다 두께감이 있는 소재고 좀 더 연한 베이지로 생각했는데 어두운 색감인게 조금 아쉽네요 마른 55인데 스몰 사이즈 좋아요,5,22.07.14.,,
6,시보리는 짱짱하지 않아서 손빨래해야한다는 단점이 있지만 여름에 입기 딱 좋아요 얇아서 그리고 단정해보여요,4,22.07.11.,,
7,어깨 라인이 뽕같이 있어서 입질 못했어요 ㅠ 저스트핏으로 가야할듯 오버핏은 어깨뽕 주의,4,22.07.15.,,
8,"폴로 랄프로렌 말해뭐해....👍
크게 설명 드리지않아도 너무너무 만족하고 핏자체도 깔끔하고 이쁘게 나오는 제품이에요
여름 라운드넥으로 랄프로렌만한 제품을 찾긴 진짜 힘들것같아요..
랄프로렌 짱짱👍👍
신발과 같이 코디하려고 두가지색상 샀는데 색감도 사진으로 볼때보다 실물이 훨씬 이쁘고 좋습니다!
저는 169/53 으로 작은키에 마른체형 남자입니다! s 사이즈 입으면 티셔츠 기장도 적당합니다! 
넣입하실거면 한사이즈 업 추천 드립니다~!
항상 고생하시는 직원분들 사장님 감사하고 올여름 무더위 조금만 더 힘내주세요 감사합니다!",5,22.06.22.,,
9,"맞춤옷처럼 딱 맞아요.
같이 주문한 다른색은 튿어져 있어서 교환중이지만 상품은 만족해요.
선물용으로 더 구매 해야겠네요~^^",5,22.07.07.,,
10,애정하는 브랜드 착한가격에 사서 흡족.받아보니 퀄리티 좋아서 색상별로 구입하려합니다.,5,22.07.12.,,
11,정말 잘입고 다니고 있어요. 이쁘고 편해요.,5,22.07.14.,,
12,정말 잘입고 다니고 있어요. 이쁘고 편해요.,5,22.07.14.,,
13,옷 사이즈도 원하는 수준이고 옷감도 품질이 좋아보여요. 두께도 적당해서 좋네요,5,22.07.05.,,
14,잘입으깨요 예뻐요 색도 맘에들도 다른색도 구매해야겟어용,5,22.07.13.,,
15,빠른 배송 감사합니다. 여름 내내 잘 입겠네요.,5,22.07.14.,,
16,평소 사이즈보다 살짝 크게 입으려고 샀는데 원하는 사이즈네요. 두께도 여름옷우로 적당하고 옷감품질도 좋아보여요,5,22.07.05.,,
17,잘맞고 좋아요 합리적인가격에 잘 산것같습니다,5,22.07.09.,,
18,"생각했던 이상 색상이 마음에 듭니다..
옷감도 편안하구요.",4,22.07.13.,,
19,화이트만 추가로 주문 했어요. 확실히 M사이즈처럼 크지만 그래서 남편이랑 같이 입을수있을거같아요.,5,22.07.08.,,
20,브이넥 오랜만에 입네요. 색깔별로 구입하고 싶네요.,5,22.07.14.,,
21,맘에들어요 면도 부드럽고 ~~,5,22.07.13.,,
22,"저렴하게 잘 샀어요, L사니 넘 커서 아들주고 전 s로 다시 주문했네요",5,22.07.11.,,
